New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
Y	0	0.180878	4.18927	-1.15818	0.181198	4.19023	-1.15694	0.180558	4.18831	-1.15942	6	Hybrid	2	1	0	3	1
N	0	0.317143	4.202753	-1.497922	0.317549	4.203016	-1.496932	0.316737	4.202491	-1.498911	6	Hybrid	2	1	1	2	1
N	0	0.372862	4.210642	-1.633614	0.373448	4.211669	-1.633539	0.372275	4.209615	-1.633690	6	In-direct	0	2	0	2	1
N	0	0.187911	4.189317	-1.180205	0.188062	4.189508	-1.179575	0.187759	4.189126	-1.180836	6	Hybrid	1	1	0	2	0
N	0	0.182844	4.188743	-1.166915	0.182938	4.188932	-1.166715	0.182750	4.188554	-1.167114	6	Hybrid	1	1	0	2	0
N	0	0.192482	4.189629	-1.191195	0.192769	4.189631	-1.190607	0.192196	4.189627	-1.191782	6	Direct	2	0	1	1	0
N	0	0.360405	4.186568	-1.644004	0.360405	4.186568	-1.644004	0.360405	4.186568	-1.644004	6	In-direct	0	1	0	1	0
N	0	0.373773	4.200374	-1.647045	0.373773	4.200374	-1.647045	0.373773	4.200374	-1.647045	6	Direct	1	0	0	1	0
N	0	0.375747	4.209545	-1.648526	0.375747	4.209545	-1.648526	0.375747	4.209545	-1.648526	6	In-direct	0	1	0	1	0
N	0	0.379840	4.201665	-1.647831	0.379840	4.201665	-1.647831	0.379840	4.201665	-1.647831	6	In-direct	0	1	0	1	0
N	0	0.377387	4.210063	-1.643115	0.377387	4.210063	-1.643115	0.377387	4.210063	-1.643115	6	In-direct	0	1	0	1	0
N	0	0.382197	4.207376	-1.645436	0.382197	4.207376	-1.645436	0.382197	4.207376	-1.645436	6	In-direct	0	1	0	1	0
N	0	0.373315	4.209453	-1.636392	0.373315	4.209453	-1.636392	0.373315	4.209453	-1.636392	6	In-direct	0	1	0	1	0
N	0	0.371943	4.207656	-1.633936	0.371943	4.207656	-1.633936	0.371943	4.207656	-1.633936	6	In-direct	0	1	0	1	0
N	0	0.315039	4.199977	-1.499566	0.315039	4.199977	-1.499566	0.315039	4.199977	-1.499566	6	In-direct	0	1	0	1	0
N	0	0.316455	4.200692	-1.497946	0.316455	4.200692	-1.497946	0.316455	4.200692	-1.497946	6	Direct	1	0	0	1	0
N	0	0.319067	4.203000	-1.494890	0.319067	4.203000	-1.494890	0.319067	4.203000	-1.494890	6	In-direct	0	1	0	1	0
N	0	0.318667	4.202894	-1.489843	0.318667	4.202894	-1.489843	0.318667	4.202894	-1.489843	6	In-direct	0	1	0	1	0
N	0	0.321440	4.205770	-1.497141	0.321440	4.205770	-1.497141	0.321440	4.205770	-1.497141	6	In-direct	0	1	0	1	0
